file,relative_path,column_position,column,dtype,non_null_count,missing_count,missing_rate,unique_count,sample_min,sample_max,possible_date_or_timestamp,timestamp_precision,column_class,data_layer,sample_values
taq.csv,data\raw\taq\taq.csv,1,date,str,1000,0,0.0,253,01/02/1993,31/12/1993,False,,DATE,EVENT_OR_SNAPSHOT_FIELD,06/04/1993 | 07/04/1993 | 08/04/1993 | 12/04/1993 | 13/04/1993 | 14/04/1993 | 15/04/1993 | 16/04/1993 | 19/04/1993 | 20/04/1993
taq.csv,data\raw\taq\taq.csv,2,symbol,str,1000,0,0.0,5,AAPL,GE,False,,SECURITY_IDENTIFIER,EVENT_OR_SNAPSHOT_FIELD,AAPL
taq.csv,data\raw\taq\taq.csv,3,QTime_1pm,str,1000,0,0.0,463,10:20:53,9:01:34,True,millisecond,QUOTE_TIMESTAMP,EVENT_OR_SNAPSHOT_FIELD,12:03:44 | 12:26:42 | 12:48:23 | 11:46:35 | 12:28:16 | 12:07:03 | 12:40:20 | 11:32:22 | 12:01:20 | 12:05:15
taq.csv,data\raw\taq\taq.csv,4,BB_1pm,float64,1000,0,0.0,256,22.5,88.125,False,,QUOTE_PRICE,EVENT_OR_SNAPSHOT_FIELD,49.25 | 48.75 | 50.0 | 50.75 | 48.0 | 47.5 | 47.75 | 48.25 | 48.5 | 49.5
taq.csv,data\raw\taq\taq.csv,5,BO_1pm,float64,1000,0,0.0,243,22.75,88.25,False,,QUOTE_PRICE,EVENT_OR_SNAPSHOT_FIELD,49.5 | 49.0 | 50.25 | 51.0 | 48.25 | 47.75 | 48.0 | 48.5 | 48.75 | 50.5
taq.csv,data\raw\taq\taq.csv,6,MID_1pm,float64,1000,0,0.0,378,22.625,88.1875,False,,QUOTE_PRICE,EVENT_OR_SNAPSHOT_FIELD,49.375 | 48.875 | 50.125 | 50.875 | 48.125 | 47.625 | 47.875 | 48.375 | 48.625 | 50.25
taq.csv,data\raw\taq\taq.csv,7,QTime_c1,str,1000,0,0.0,359,10:29:42,15:59:59,True,millisecond,QUOTE_TIMESTAMP,EVENT_OR_SNAPSHOT_FIELD,15:56:23 | 15:55:10 | 14:53:33 | 15:50:31 | 15:59:18 | 14:18:15 | 15:59:22 | 15:21:38 | 15:40:50 | 15:53:36
taq.csv,data\raw\taq\taq.csv,8,BB_c1,float64,1000,0,0.0,240,22.5,88.375,False,,QUOTE_PRICE,EVENT_OR_SNAPSHOT_FIELD,48.75 | 50.25 | 49.5 | 50.0 | 48.5 | 47.0 | 48.0 | 48.25 | 49.0 | 51.25
taq.csv,data\raw\taq\taq.csv,9,BO_c1,float64,1000,0,0.0,245,22.75,88.5,False,,QUOTE_PRICE,EVENT_OR_SNAPSHOT_FIELD,49.0 | 50.5 | 49.75 | 48.75 | 47.25 | 48.25 | 48.5 | 50.25 | 50.0 | 49.5
taq.csv,data\raw\taq\taq.csv,10,Mid_c1,float64,1000,0,0.0,354,22.625,88.4375,False,,QUOTE_PRICE,EVENT_OR_SNAPSHOT_FIELD,48.875 | 50.375 | 49.625 | 50.25 | 48.625 | 47.125 | 48.125 | 48.375 | 50.125 | 49.75
