column,semantic_role,dtype,unique_count,min,max,median,mean,zero_count,negative_count,top_values
Ret_pre_t,MARKET_STATISTIC,float64,47780,-4.850727332,0.3278638621,0.0,-0.00032537683213133616,2489.0,32368.0,
Ret_mkt_t,MARKET_STATISTIC,float64,80554,-0.405465108,0.7731898882,0.0,2.799652884678209e-05,3767.0,59301.0,
Ret_post_t,MARKET_STATISTIC,float64,46237,-1.115718419,0.1940201149,0.0,7.747788912769622e-05,22244.0,28794.0,
MFCount,TRADING_ACTIVITY,int64,25723,0.0,1393624.0,775.0,8134.364983951454,3330.0,0.0,
NumTrades_t,TRADING_ACTIVITY,int64,55553,1.0,2293250.0,8134.0,40415.59368185493,0.0,0.0,
NumTrades_m,TRADING_ACTIVITY,int64,55320,0.0,2246056.0,8081.0,39796.889318120564,2.0,0.0,
SumVolume_t,TRADING_ACTIVITY,int64,101729,100.0,3775415184.0,6370000.0,20570573.260590814,0.0,0.0,
SumVolume_m,TRADING_ACTIVITY,int64,100975,0.0,2764707616.0,5961500.0,18965394.865943596,2.0,0.0,
SumValue_b,TRADING_ACTIVITY,float64,63946,0.0,7746480753.0,19922.0,17560797.614704072,56983.0,0.0,
SumValue_m,TRADING_ACTIVITY,float64,122244,0.0,80777956912.0,326187645.51,930847463.2861772,2.0,0.0,
NumISOTrades_m,OTHER,int64,31434,0.0,1271851.0,0.0,14630.011826104,82518.0,0.0,
SumISOVolume_m,OTHER,int64,39856,0.0,603644803.0,0.0,4920812.57299434,82518.0,0.0,
SumISOValue_m,OTHER,float64,39924,0.0,47081291885.0,0.0,278613191.02287596,82518.0,0.0,
NumOddLotTrades_m,OTHER,int64,386,0.0,1709.0,0.0,2.0378958028764873,115603.0,0.0,
SumOddLotVolume_m,OTHER,int64,2502,0.0,54356.0,0.0,90.28729755555737,116225.0,0.0,
SumOddLotValue_m,OTHER,float64,6186,0.0,3520881.5,0.0,3761.9889580843023,116225.0,0.0,
NumMixedLotTrades_m,OTHER,int64,14394,0.0,317405.0,0.0,2122.841923865372,76208.0,0.0,
SumMixedLotVolume_m,OTHER,int64,45343,0.0,465289596.0,0.0,1843882.0339102098,76208.0,0.0,
SumMixedLotValue_m,OTHER,float64,46234,0.0,11251431634.0,0.0,82967641.48031427,76208.0,0.0,
BuyNumTrades_LR1,TRADING_ACTIVITY,int64,43430,0.0,1134874.0,4192.0,20205.159636069617,348.0,0.0,
SellNumTrades_LR1,TRADING_ACTIVITY,int64,43432,0.0,1158376.0,3915.0,20194.7855048554,176.0,0.0,
BuyVol_LR1,TRADE_DIRECTION,int64,91699,0.0,2142735423.0,3229812.0,10356838.929827427,348.0,0.0,
SellVol_LR1,TRADE_DIRECTION,int64,89767,0.0,1711995480.0,2999100.0,10162886.010307005,176.0,0.0,
BuyDollar_LR1,TRADE_DIRECTION,float64,121468,0.0,43931821543.0,176598334.13,510547144.3730284,348.0,0.0,
SellDollar_LR1,TRADE_DIRECTION,float64,121813,0.0,47353450663.0,163209840.47,501274748.3320234,176.0,0.0,
ESpreadDollar_Avg1,EXECUTION_COST_METRIC,float64,115701,0.0,28.326589407,0.035065159799999995,0.08067692942784559,5.0,0.0,
ESpreadPct_Avg1,EXECUTION_COST_METRIC,float64,121875,0.0,0.6271195201,0.0007226627,0.0032370990111192824,5.0,0.0,
RSpreadDollar_Avg1,EXECUTION_COST_METRIC,float64,116743,-2.167218994,28.056579134,0.0087029263,0.04436384817652827,39.0,27018.0,
RSpreadPct_Avg1,EXECUTION_COST_METRIC,float64,120592,-0.155923083,0.6279588852,0.00017380045,0.002265621714854783,8.0,27038.0,
PriceImpactDollar_Avg1,EXECUTION_COST_METRIC,float64,115374,-0.348194899,5.0352564103,0.01973714985,0.03665784107767763,1265.0,2150.0,
PriceImpactPct_Avg1,EXECUTION_COST_METRIC,float64,120556,-0.070204259,0.2535034113,0.00045803019999999996,0.0009915185991260494,1202.0,2179.0,
ESpreadDollar_VW1,EXECUTION_COST_METRIC,float64,122010,0.0,1681.0024894,0.0620433273,0.12430685229198085,5.0,0.0,
ESpreadDollar_SW1,EXECUTION_COST_METRIC,float64,121622,0.0,87.148372357,0.06204650305,0.1004890821812987,5.0,0.0,
ESpreadPct_VW1,EXECUTION_COST_METRIC,float64,122071,0.0,1.1296299746,0.0011145390500000001,0.0035261170910158355,5.0,0.0,
ESpreadPct_SW1,EXECUTION_COST_METRIC,float64,122055,0.0,4.1540266429,0.00111494455,0.0035464769160824306,5.0,0.0,
RSpreadDollar_SW1,EXECUTION_COST_METRIC,float64,121714,-5.681343502,87.14559001,0.02122760015,0.05402508930990002,6.0,14839.0,
RSpreadDollar_VW1,EXECUTION_COST_METRIC,float64,122091,-5.859808174,1680.9696358,0.021223359900000002,0.07786210240691832,3.0,14836.0,
RSpreadPct_SW1,EXECUTION_COST_METRIC,float64,121765,-0.155923083,4.1539833194,0.00042024825,0.00233701040604072,3.0,14873.0,
RSpreadPct_VW1,EXECUTION_COST_METRIC,float64,121777,-0.155923083,1.1289219678,0.00042039020000000005,0.0023166581841620928,3.0,14844.0,
PriceImpactDollar_VW1,EXECUTION_COST_METRIC,float64,121202,-2.223008721,19.089750482,0.0255790062,0.04644881293276946,1157.0,5099.0,
PriceImpactDollar_SW1,EXECUTION_COST_METRIC,float64,120819,-2.158235394,19.258779833,0.025582258650000002,0.046467277419181933,1167.0,5105.0,
PriceImpactPct_VW1,EXECUTION_COST_METRIC,float64,116823,-0.433359621,0.91800667,1.20914e-05,0.00047390850232579217,1164.0,5100.0,
PriceImpactPct_SW1,EXECUTION_COST_METRIC,float64,121213,-2.177028725,18.651191412,0.0255696351,0.04647256381094782,1157.0,5106.0,
IVol_t_m,MARKET_STATISTIC,float64,122027,0.0,0.9114884002,2.7636281e-07,7.215339851573522e-05,115.0,0.0,
IVol_q_m,MARKET_STATISTIC,float64,121553,0.0,0.2386397441,2.7645997e-08,2.406770479623711e-05,85.0,0.0,
NumExtremeOfr_m,QUOTE_QUALITY_METRIC,float64,37762,1.0,419885771.0,7299.0,42981.49363765795,0.0,0.0,
NumExtremeBid_m,QUOTE_QUALITY_METRIC,float64,35949,1.0,39418439.0,7263.5,38936.24938331909,0.0,0.0,
QSpreadDollar_EW_m,QUOTE_QUALITY_METRIC,float64,114402,0.0092928805,29.855876866,0.03084137605,0.0765888815087816,0.0,0.0,
QSpreadPct_EW_m,QUOTE_QUALITY_METRIC,float64,121254,6.53753e-05,1.6408082148,0.0006690548499999999,0.003806948696097249,0.0,0.0,
QSpreadDollar_TW_m,QUOTE_QUALITY_METRIC,float64,111535,0.0089450777,29.857649842,0.0292680162,0.07258872932043323,0.0,0.0,
QSpreadPct_TW_m,QUOTE_QUALITY_METRIC,float64,121247,6.4294e-05,0.9325682668,0.0006460787,0.0035979675293506346,0.0,0.0,
TOfrDollar_TW_m,QUOTE_DEPTH_OR_ORDER_FLOW,float64,121518,30.0,80098497.312,224210.08341000002,813123.7818436864,0.0,0.0,
TBidDollar_TW_m,QUOTE_DEPTH_OR_ORDER_FLOW,float64,121533,30.0,87940915.501,200589.67926,776235.4637792271,0.0,0.0,
TOfrShares_TW_m,QUOTE_DEPTH_OR_ORDER_FLOW,float64,118063,100.0,23616566.204,4301.8769959500005,42824.2495931063,0.0,0.0,
TBidShares_TW_m,QUOTE_DEPTH_OR_ORDER_FLOW,float64,118105,100.0,27494773.955,3773.4093033,42950.307509136466,0.0,0.0,
BOfrDollar_TW_m,QUOTE_DEPTH_OR_ORDER_FLOW,float64,121502,30.0,54381159.438,147786.29044,536046.6961808099,0.0,0.0,
BBidDollar_TW_m,QUOTE_DEPTH_OR_ORDER_FLOW,float64,121528,30.0,56487783.235,133168.92659500003,500364.83574691415,0.0,0.0,
BOfrShares_TW_m,QUOTE_DEPTH_OR_ORDER_FLOW,float64,117716,100.0,7582467.4888,2804.12473155,16498.874215522083,0.0,0.0,
BBidShares_TW_m,QUOTE_DEPTH_OR_ORDER_FLOW,float64,117702,100.0,7184575.7176,3150.68822465,16735.89629787692,0.0,0.0,
VarianceRatio1,MARKET_STATISTIC,float64,121260,0.0,1.6438363601,0.0670949842,0.0954150430034501,132.0,0.0,
VarianceRatio2,MARKET_STATISTIC,float64,121279,0.0,2.1517295671,0.1090997001,0.14631269764559918,137.0,0.0,
TSignSqrtDVol1,TRADE_DIRECTION,float64,119716,-0.001675304,0.0040237725,3.8690123e-07,1.7752046599530997e-06,112.0,24430.0,
TSignSqrtDVol2,TRADE_DIRECTION,float64,119726,-0.001693118,0.0037319265,3.9561724e-07,1.8315646628669493e-06,107.0,24470.0,
NObsUsed1,OBSERVATION_COUNT,float64,71,8.0,78.0,78.0,74.72719917929557,0.0,0.0,
NObsUsed2,OBSERVATION_COUNT,float64,182,10.0,191.0,87.0,92.9318748592542,0.0,0.0,
NumTimeUnitsWithTrade1,OBSERVATION_COUNT,float64,13,1.0,13.0,13.0,12.720114155438376,0.0,0.0,
NumTimeUnitsWithTrade2,OBSERVATION_COUNT,float64,78,1.0,78.0,78.0,73.92246123061531,0.0,0.0,
HIndex1,MARKET_STATISTIC,float64,121806,0.0779274087,1.0,0.0982379282,0.11482133750503201,0.0,0.0,
