record_type,chunk_number,column,rows_input,rows_output,rows_removed,original_missing_count,cleaned_missing_count,date_parse_failures,time_parse_failures,numeric_conversion_failures,transformation
FIELD_TOTAL,,SellNumTrades_LR1,122441,122441,0,0.0,0.0,0,0,0,CONVERTED_TO_NUMERIC_WHERE_POSSIBLE
FIELD_TOTAL,,BuyVol_LR1,122441,122441,0,0.0,0.0,0,0,0,CONVERTED_TO_NUMERIC_WHERE_POSSIBLE
FIELD_TOTAL,,SellVol_LR1,122441,122441,0,0.0,0.0,0,0,0,CONVERTED_TO_NUMERIC_WHERE_POSSIBLE
FIELD_TOTAL,,BuyDollar_LR1,122441,122441,0,0.0,0.0,0,0,0,CONVERTED_TO_NUMERIC_WHERE_POSSIBLE
FIELD_TOTAL,,SellDollar_LR1,122441,122441,0,0.0,0.0,0,0,0,CONVERTED_TO_NUMERIC_WHERE_POSSIBLE
FIELD_TOTAL,,ESpreadDollar_Avg1,122441,122441,0,59.0,59.0,0,0,0,CONVERTED_TO_NUMERIC_WHERE_POSSIBLE
FIELD_TOTAL,,ESpreadPct_Avg1,122441,122441,0,59.0,59.0,0,0,0,CONVERTED_TO_NUMERIC_WHERE_POSSIBLE
FIELD_TOTAL,,RSpreadDollar_Avg1,122441,122441,0,63.0,63.0,0,0,0,CONVERTED_TO_NUMERIC_WHERE_POSSIBLE
FIELD_TOTAL,,RSpreadPct_Avg1,122441,122441,0,63.0,63.0,0,0,0,CONVERTED_TO_NUMERIC_WHERE_POSSIBLE
FIELD_TOTAL,,PriceImpactDollar_Avg1,122441,122441,0,63.0,63.0,0,0,0,CONVERTED_TO_NUMERIC_WHERE_POSSIBLE
FIELD_TOTAL,,PriceImpactPct_Avg1,122441,122441,0,63.0,63.0,0,0,0,CONVERTED_TO_NUMERIC_WHERE_POSSIBLE
FIELD_TOTAL,,ESpreadDollar_VW1,122441,122441,0,59.0,59.0,0,0,0,CONVERTED_TO_NUMERIC_WHERE_POSSIBLE
FIELD_TOTAL,,ESpreadDollar_SW1,122441,122441,0,59.0,59.0,0,0,0,CONVERTED_TO_NUMERIC_WHERE_POSSIBLE
FIELD_TOTAL,,ESpreadPct_VW1,122441,122441,0,59.0,59.0,0,0,0,CONVERTED_TO_NUMERIC_WHERE_POSSIBLE
FIELD_TOTAL,,ESpreadPct_SW1,122441,122441,0,59.0,59.0,0,0,0,CONVERTED_TO_NUMERIC_WHERE_POSSIBLE
FIELD_TOTAL,,RSpreadDollar_SW1,122441,122441,0,63.0,63.0,0,0,0,CONVERTED_TO_NUMERIC_WHERE_POSSIBLE
FIELD_TOTAL,,RSpreadDollar_VW1,122441,122441,0,63.0,63.0,0,0,0,CONVERTED_TO_NUMERIC_WHERE_POSSIBLE
FIELD_TOTAL,,RSpreadPct_SW1,122441,122441,0,63.0,63.0,0,0,0,CONVERTED_TO_NUMERIC_WHERE_POSSIBLE
FIELD_TOTAL,,RSpreadPct_VW1,122441,122441,0,63.0,63.0,0,0,0,CONVERTED_TO_NUMERIC_WHERE_POSSIBLE
FIELD_TOTAL,,PriceImpactDollar_VW1,122441,122441,0,63.0,63.0,0,0,0,CONVERTED_TO_NUMERIC_WHERE_POSSIBLE
FIELD_TOTAL,,PriceImpactDollar_SW1,122441,122441,0,63.0,63.0,0,0,0,CONVERTED_TO_NUMERIC_WHERE_POSSIBLE
FIELD_TOTAL,,PriceImpactPct_VW1,122441,122441,0,63.0,63.0,0,0,0,CONVERTED_TO_NUMERIC_WHERE_POSSIBLE
FIELD_TOTAL,,PriceImpactPct_SW1,122441,122441,0,63.0,63.0,0,0,0,CONVERTED_TO_NUMERIC_WHERE_POSSIBLE
FIELD_TOTAL,,IVol_t_m,122441,122441,0,180.0,180.0,0,0,0,CONVERTED_TO_NUMERIC_WHERE_POSSIBLE
FIELD_TOTAL,,IVol_q_m,122441,122441,0,712.0,712.0,0,0,0,CONVERTED_TO_NUMERIC_WHERE_POSSIBLE
FIELD_TOTAL,,NumExtremeOfr_m,122441,122441,0,32537.0,32537.0,0,0,0,CONVERTED_TO_NUMERIC_WHERE_POSSIBLE
