symbol,violation_count,mean_bid_minus_ask,median_bid_minus_ask,max_abs_bid_ask_inversion,quote_set
KO,269,0.1181226765799255,0.07000000000000028,2.1875,last
MA,159,0.7139622641509424,0.25,10.710000000000008,last
MS,165,0.3243636363636362,0.08000000000000007,24.41,last
NVDA,24,0.5072916666666666,0.1875,2.3125,last
ORCL,289,0.4330363321799308,0.25,2.875,last
PEP,163,0.10384969325153393,0.0625,0.5300000000000011,last
PFE,625,0.094032,0.04999999999999716,6.3125,last
QQQ,490,0.18730738775510217,0.0625,3.375,last
SPY,824,0.12324939927184504,0.060000000000002274,1.8125,last
UNH,294,0.16886054421768695,0.09000000000000341,3.6300000000000026,last
V,112,0.3033705357142854,0.14000000000000057,4.5,last
WFC,314,0.2489570063694267,0.1225000000000005,2.0,last
WMT,454,0.09716960352422903,0.05999999999999872,0.9375,last
XOM,374,0.08606951871657749,0.03999999999999915,1.0625,last
CVX,2,0.010000000000005116,0.010000000000005116,0.010000000000005116,1pm
DIS,1,0.01999999999999602,0.01999999999999602,0.01999999999999602,1pm
GE,1,0.010000000000001563,0.010000000000001563,0.010000000000001563,1pm
GOOG,1,0.009999999999990905,0.009999999999990905,0.009999999999990905,1pm
HD,1,0.009999999999990905,0.009999999999990905,0.009999999999990905,1pm
INTC,1,0.00999999999999801,0.00999999999999801,0.00999999999999801,1pm
SPY,3,0.01666666666666572,0.010000000000005116,0.030000000000001137,1pm
WFC,1,0.00999999999999801,0.00999999999999801,0.00999999999999801,1pm
WMT,1,0.00999999999999801,0.00999999999999801,0.00999999999999801,1pm
XOM,3,0.013333333333335418,0.010000000000005116,0.01999999999999602,1pm
AAPL,3,0.43999999999998823,0.05000000000001137,1.2199999999999704,c1
AMZN,1,0.21999999999999886,0.21999999999999886,0.21999999999999886,c1
CVX,1,0.0799999999999983,0.0799999999999983,0.0799999999999983,c1
GE,1,0.00999999999999801,0.00999999999999801,0.00999999999999801,c1
GOOG,3,0.646666666666647,0.6299999999999955,1.25,c1
GS,2,0.10999999999998522,0.10999999999998522,0.1599999999999966,c1
HD,3,0.01666666666666572,0.00999999999999801,0.030000000000001137,c1
