permno,permco,ticker,first_date,last_date,observations,valid_price_rows,valid_volume_rows,two_sided_quote_rows,normal_quote_rows,crossed_quote_rows,execution_ready_rows,positive_volume_rows,positive_volume_execution_rows,mean_relative_quoted_spread,median_relative_quoted_spread,mean_dollar_volume,median_dollar_volume,quote_coverage,execution_coverage,positive_volume_execution_coverage
55976,21880,WMT,1993-01-04,2018-12-31,6547,6547,6547,6527,6490,37,6490,6547,6490,0.003109798117011398,0.0004127966976264835,518753736.900651,469489455.0,0.9969451657247594,0.9912937223155643,0.9912937223155643
59328,2367,INTC,1993-01-04,2018-12-31,6547,6547,6547,6547,6207,340,6207,6547,6207,0.0007505092592655944,0.00045423574835330504,1250600294.1496704,1129742848.3899999,1.0,0.9480678173209104,0.9480678173209104
59408,3151,BAC,1998-10-01,2018-12-31,5095,5095,5095,5089,5069,20,5069,5095,5069,0.0021947132745487544,0.0006889424733034645,1323405040.8275461,1057096763.5699999,0.9988223748773307,0.9948969578017665,0.9948969578017665
66181,5085,HD,1993-01-04,2018-12-31,6547,6547,6547,6515,6485,30,6485,6547,6485,0.003751109488010634,0.0005003752814609963,390971995.08724004,352187520.0,0.995112265159615,0.9905300137467542,0.9905300137467542
69032,21224,MS,1993-01-04,2018-12-31,4377,4377,4377,4376,4352,24,4352,4377,4352,0.002163975670448884,0.00041143804537395305,371538933.3728798,342633402.0,0.9997715330134795,0.9942883253369889,0.9942883253369889
70519,20483,C,1998-12-04,2018-12-31,5050,5050,5050,5045,5023,22,5023,5050,5023,0.002091388863075836,0.00039471087428464825,1147691614.3043582,878450983.79,0.999009900990099,0.9946534653465346,0.9946534653465346
76076,10486,CSCO,1993-01-04,2018-12-31,6547,6547,6547,6547,6211,336,6211,6547,6211,0.0010185808051308028,0.0005041593143434112,1029875476.8380575,877570911.36,1.0,0.9486787841759584,0.9486787841759584
76947,10961,META,1993-01-04,2002-04-25,2347,2347,2347,2347,2347,0,2347,2320,2320,0.06750082060607339,0.0547945205479452,163602.3732934704,59840.0,1.0,1.0,0.9884959522795057
82621,14097,MS,1998-04-23,2005-12-16,1927,1926,1926,1610,1609,1,1609,1903,1586,0.08618154719323318,0.06896551724137917,115113.36626168224,22603.5,0.8354955889984432,0.8349766476388168,0.8230409963674105
84788,15473,AMZN,1997-05-15,2018-12-31,5443,5443,5443,5443,5080,363,5080,5443,5080,0.0007702891830682355,0.00036717459151828087,1311475508.2268105,653959790.54,1.0,0.933308837038398,0.933308837038398
86580,16382,NVDA,1999-01-22,2018-12-31,5018,5018,5018,5018,4787,231,4787,5018,4787,0.0009164157503554339,0.0005730659496281476,499741955.03531486,196082417.6,1.0,0.9539657233957752,0.9539657233957752
86868,35048,GS,1999-05-04,2018-12-31,4948,4948,4948,4939,4891,48,4891,4948,4891,0.0018507183833605977,0.00024094934040113272,804126649.5098106,536155624.00000006,0.998181083265966,0.988480194017785,0.988480194017785
88614,39149,V,2000-09-12,2006-08-03,1481,1481,1481,1419,1414,5,1414,1481,1414,0.00505718748646779,0.0015820281601012724,16795142.798620865,9651501.0,0.9581363943281567,0.9547602970965564,0.9547602970965564
89393,43145,NFLX,2002-05-23,2018-12-31,4181,4181,4181,4181,4094,87,4094,4181,4094,0.0009287073778788575,0.0004023335345000205,745894282.1054466,288441727.44,1.0,0.9791915809614925,0.9791915809614925
90319,45483,GOOG,2004-08-19,2018-12-31,3617,3617,3617,3617,3438,179,3438,3617,3438,0.0004771131384265522,0.0002820448249810856,2090903541.956252,1728620224.24,1.0,0.9505114735969035,0.9505114735969035
91233,50700,MA,2006-05-25,2018-12-31,3172,3172,3172,3172,3158,14,3158,3172,3158,0.00043132860489234105,0.00016804380221611026,455096914.4482582,374468258.82,1.0,0.9955863808322825,0.9955863808322825
92611,52983,V,2008-03-19,2018-12-31,2716,2716,2716,2716,2710,6,2710,2716,2710,0.000261645095695436,0.00013191742199080488,659742561.1810199,549117823.5,1.0,0.9977908689248896,0.9977908689248896
